ESD_um,biovol_um3
1,0.523333333
1.26,1.04686344
1.59,2.10363201
2,4.186666667
2.52,8.37490752
3.17,16.67079014
4,33.49333333
5.04,66.99926016
6.35,133.9983879
8,267.9466667
10.1,539.1908567
12.7,1071.987103
16,2143.573333
20.2,4313.526853
25.4,8575.896827
32,17148.58667
40.3,34252.59946
50.8,68607.17461
64,137188.6933
80.6,274020.7957
102,555365.52
128,1097509.547
161,2184017.057
203,4377906.797
256,8780076.373
323,17635426.4
406,35023254.37
512,70240610.99
645,140429238.8
813,281222480.4
1020,555365520
1290,1123433910
1630,2266424263
2050,4508582083
2580,8987471280
3250,17965052083
4100,36068656667
5160,71899770240
6500,1.44E+11
8190,2.87E+11
10300,5.72E+11
13000,1.15E+12
16400,2.31E+12
20600,4.58E+12
24498,7.70E+12
29133,1.29E+13
34645,2.18E+13
41200,3.66E+13
48995,6.16E+13
58266,1.04E+14
69290,1.74E+14
82400,2.93E+14
97991,4.93E+14
116531,8.29E+14
138580,1.39E+15
164800,2.34E+15
195981,3.94E+15
233062,6.63E+15
277159,1.11E+16
329600,1.87E+16
391963,3.15E+16
466125,5.30E+16
554319,8.92E+16
659200,1.50E+17
783925,2.52E+17
932250,4.24E+17
1108638,7.13E+17
1318400,1.20E+18
1567851,2.02E+18
1864499,3.39E+18
2217276,5.71E+18
2636800,9.60E+18
3135701,1.61E+19
3728998,2.72E+19
4434551,4.57E+19
5273600,7.68E+19
6271403,1.29E+20
7457997,2.17E+20
8869103,3.65E+20
10547200,6.14E+20
12542805,1.03E+21
14915993,1.74E+21
17738205,2.92E+21
21094400,4.91E+21
25085611,8.27E+21
29831987,1.39E+22
35476411,2.34E+22
42188800,3.93E+22
50171221,6.61E+22
