ESD_um	biovol_um3
1	0.523333333
1.26	1.04686344
1.59	2.10363201
2	4.186666667
2.52	8.37490752
3.17	16.67079014
4	33.49333333
5.04	66.99926016
6.35	133.9983879
8	267.9466667
10.1	539.1908567
12.7	1071.987103
16	2143.573333
20.2	4313.526853
25.4	8575.896827
32	17148.58667
40.3	34252.59946
50.8	68607.17461
64	137188.6933
80.6	274020.7957
102	555365.52
128	1097509.547
161	2184017.057
203	4377906.797
256	8780076.373
323	17635426.4
406	35023254.37
512	70240610.99
645	140429238.8
813	281222480.4
1020	555365520
1290	1123433910
1630	2266424263
2050	4508582083
2580	8987471280
3250	17965052083
4100	36068656667
5160	71899770240
6500	1.4372E+11
8190	2.87495E+11
10300	5.7186E+11
13000	1.14976E+12
16400	2.30839E+12
20600	4.57488E+12
26000	9.19811E+12
30900	1.54402E+13
36800	2.60809E+13
43700	4.3674E+13
52000	7.35849E+13
61800	1.23522E+14
73500	2.07798E+14
87400	3.49392E+14
104000	5.88679E+14
123600	9.88175E+14
147000	1.66238E+15
